cond_numeric	Condition	participant_a	participant_b	z_transformed_rank_r	pp_a_n_clusters	pp_b_n_clusters	cat_diff_log_ratio_a	cat_diff_log_ratio_b	mean_alignment_within	mean_alignment_between
-1	Baseline	CEL_baseline_114	CEL_baseline_173	0.069488387	3	3	0.242876311	0.07388028	0.001720379	0.09343628
-1	Baseline	CEL_baseline_114	CEL_baseline_176	0.159057379	3	7	0.242876311	0.384077036	0.083761558	0.058632954
-1	Baseline	CEL_baseline_114	CEL_baseline_177	0.253500156	3	2	0.242876311	0.997333253	0.090886129	0.097457093
-1	Baseline	CEL_baseline_114	CEL_baseline_179	0.09494942	3	3	0.242876311	0.266157758	-0.015995108	0.136001879
-1	Baseline	CEL_baseline_114	CEL_baseline_181	0.025875859	3	2	0.242876311	0.238608073	-0.018102977	-0.030384384
-1	Baseline	CEL_baseline_114	CEL_baseline_182	0.249128618	3	2	0.242876311	3.445669382	0.113602722	-0.003438481
-1	Baseline	CEL_baseline_114	CEL_baseline_183	0.220983405	3	4	0.242876311	1.160857409	0.061785146	0.025953199
-1	Baseline	CEL_baseline_114	CEL_baseline_184	0.150458685	3	6	0.242876311	0.680291098	-0.030606553	0.212364833
-1	Baseline	CEL_baseline_114	CEL_baseline_185	0.027097919	3	5	0.242876311	0.239683688	0.028200254	-0.058151268
-1	Baseline	CEL_baseline_114	CEL_baseline_186	0.132695755	3	4	0.242876311	0.49694547	0.005334064	0.030060056
-1	Baseline	CEL_baseline_114	CEL_baseline_187	0.308182484	3	4	0.242876311	0.196388029	0.227935923	0.227777554
-1	Baseline	CEL_baseline_114	CEL_baseline_188	-0.056442578	3	5	0.242876311	0.22198018	-0.103193097	0.009493234
-1	Baseline	CEL_baseline_114	CEL_baseline_189	-0.046238336	3	3	0.242876311	0.17580039	-0.088927756	-0.089303823
-1	Baseline	CEL_baseline_114	CEL_baseline_191	0.099136899	3	5	0.242876311	0.421234675	0.022212247	0.038711195
-1	Baseline	CEL_baseline_114	CEL_baseline_193	0.112858029	3	8	0.242876311	0.69979533	0.080139844	-0.194021663
-1	Baseline	CEL_baseline_114	CEL_baseline_195	0.037323518	3	7	0.242876311	0.118083885	0.029427883	-0.026997256
-1	Baseline	CEL_baseline_114	CEL_baseline_196	0.034796455	3	5	0.242876311	0.152536494	0.02184156	-0.006924803
-1	Baseline	CEL_baseline_114	CEL_baseline_197	0.165876084	3	6	0.242876311	0.845256607	-0.019717491	0.080110933
-1	Baseline	CEL_baseline_115	CEL_baseline_116	0.114235101	4	5	0.2215584	0.280682312	0.112294145	0.012685949
-1	Baseline	CEL_baseline_115	CEL_baseline_118	-0.048904591	4	5	0.2215584	-0.066796051	-0.116797723	0.070539809
-1	Baseline	CEL_baseline_115	CEL_baseline_120	0.055873097	4	5	0.2215584	-0.005659979	0.038567397	0.066368099
-1	Baseline	CEL_baseline_115	CEL_baseline_123	0.074689052	4	3	0.2215584	0.3651375	0.037141299	0.056850848
-1	Baseline	CEL_baseline_115	CEL_baseline_124	0.02372957	4	2	0.2215584	0.090431415	0.064765052	-0.02237397
-1	Baseline	CEL_baseline_115	CEL_baseline_125	0.040378511	4	3	0.2215584	-0.018682389	0.027887212	0.068610306
