"n_clusters"	"cond_numeric"	"a_dist"	"b_dist"	"ab_dist"	"log_cat_ratio"	"cat_diff"	"purity"	"n_items"	"window_height"	"window_width"	"participant"
3	-1	288.2664556	206.2181588	368.4433763	0.398918183	121.2010691	0.75	5	648	1280	88
4	-1	166.0669048	245.1345727	328.9770599	0.470051895	123.3763212	1	2.5	750	1536	43
2	-1	269.868714	354.766963	762.0461482	0.891985733	449.7283097	0.944444444	8	1297	2560	44
4	-1	226.9635389	526.1618352	570.0098173	0.414569051	193.4471303	0.875	4.5	657	1366	69
2	1	231.565409	520.1143791	1259.512042	1.209316418	883.672148	NA	NA	969	1920	78
2	-1	351.5668258	238.0523168	332.1057197	0.119123724	37.2961484	NA	NA	722	1536	8
4	1	100.6249187	515.9505592	420.0105544	0.309246276	111.7228155	1	5.5	658	1200	75
2	1	155.3799587	153.8844234	816.0836525	1.663467529	661.4514615	1	8	969	1920	3
4	-1	322.0179647	395.5570959	462.8910581	0.254761355	104.1035278	1	3.5	969	1920	35
3	-1	275.0275468	264.5035803	435.0009516	0.47779492	165.2353881	1	6.5	937	1920	42
6	0	297.3692828	466.4974064	484.0276445	0.236895919	102.0942999	0.625	3	979	1920	87
2	-1	175.2239299	329.7623441	600.1424873	0.865783038	347.6493503	NA	NA	722	1536	61
4	-1	260.5298783	782.9211762	709.6794269	0.307671717	187.9538997	1	4	757	1600	73
4	-1	458.1557621	730.8388843	645.0569252	0.081622356	50.559602	1	4	722	1447	36
4	0	273.9472308	556.4648331	609.6185601	0.384058591	194.4125282	0.875	5.5	1126	1188	106
5	-1	336.2883486	287.0346012	343.8233574	0.098210447	32.1618825	0.666666667	5	754	1536	81
2	-1	191.1240457	279.4614422	700.1791472	1.090505769	464.8864033	1	8	937	1920	111
2	-1	266.9433007	355.1469288	728.0455214	0.85042561	417.0004067	NA	NA	969	1920	63
2	-1	202.0332465	238.625782	487.3381756	0.79383407	267.0086614	1	8	965	1910	80
2	-1	153.9284856	277.2225075	493.8401781	0.828900759	278.2646816	NA	NA	600	1308	112
4	1	262.697004	271.1213628	512.0067251	0.651429296	245.0975417	0.9	4.5	867	1707	1
2	1	138.5016885	230.2707354	422.8331236	0.829945059	238.4469117	NA	NA	699	1536	2
4	0	173.1750139	165.3644405	264.935165	0.447991674	95.6654378	0.9	4	657	1366	79
