"cond_numeric"	"pair"	"rank_r"	"z_transformed_rank_r"	"adjusted_mutual_info"	"adjusted_rand_index"	"participant_a"	"participant_b"
0	"27-31"	0.0905346981454493	0.0907832786312477	0.441750216721179	0.533333333333333	27	31
0	"27-15"	0.0198222829801777	0.0198248798020702	0.328763406894715	0.283333333333333	27	15
0	"37-62"	-0.197881066302119	-0.200526301808833	0.537594825634757	0.533333333333333	37	62
0	"37-67"	0.0798359535201641	0.080006224076853	0.427891027055742	0.53125	37	67
0	"37-21"	-0.0835953520164047	-0.0837908991208333	0.0805758436671371	0.0883977900552486	37	21
0	"37-17"	-0.0227614490772386	-0.0227653810771276	0.202924922859821	0.104234527687296	37	17
0	"37-16"	-0.0287764866712235	-0.0287844337571437	0.414620398278028	0.265734265734266	37	16
0	"37-5"	0.209842788790157	0.213006888167776	0.449746568938509	0.377880184331797	37	5
0	"37-94"	0.00191387559808612	0.0019138779348822	0.283171350130928	0.264538198403649	37	94
0	"37-98"	-0.0608339029391661	-0.0609091139804347	0.427891027055742	0.53125	37	98
0	"37-72"	0.0759398496240602	0.076086334995208	0.467122347075879	0.262295081967213	37	72
0	"37-119"	-0.0293916609706083	-0.0294001288822662	0.448181720861901	0.368600682593857	37	119
0	"37-87"	-0.022282980177717	-0.0222866693418545	0.158947153403819	0.105263157894737	37	87
0	"37-106"	0.0894736842105263	0.0897135993837951	0.496211428267723	0.466130884041332	37	106
0	"37-79"	-0.128024606971975	-0.128731021002639	0.37350380532432	0.361334867663982	37	79
0	"37-45"	0.0642515379357485	0.0643401732727747	0.788297678480272	0.74460839954597	37	45
0	"37-41"	-0.0050580997949419	-0.00505814293170892	0.8667723380906	0.881889763779528	37	41
0	"37-31"	-0.0382439891373189	-0.0382626507707809	0.813453746357037	0.796380090497738	37	31
0	"37-15"	-0.0284347231715653	-0.0284423903666632	0.650830415367382	0.533947065592635	37	15
0	"62-67"	-0.0348598769651401	-0.0348740079721034	0.16699879527243	0.2	62	67
0	"62-21"	0.0992481203007519	0.0995759308171646	-0.00897958064227894	-0.05	62	21
0	"62-17"	-0.0580314422419686	-0.0580967173493663	0.34220083731293	0.35	62	17
0	"62-16"	0.17758031442242	0.17948309999219	0.264294670021511	0.166666666666667	62	16
0	"62-5"	-0.090704032809296	-0.0909540153632608	0.29686962062511	0.266666666666667	62	5
0	"62-94"	0.0947368421052632	0.0950218014439325	0.0693116767271924	0.116666666666667	62	94
0	"62-98"	-0.0311004784688995	-0.0311105114986043	0.16699879527243	0.2	62	98
0	"62-72"	0.0159945317840055	0.0159958959273492	0.238318092833615	0.133333333333333	62	72
0	"62-119"	0.0641831852358168	0.0642715375279593	0.367979171712721	0.25	62	119
0	"62-87"	-0.0734107997265892	-0.0735431016146775	0.131686270890724	0.0833333333333333	62	87
0	"62-106"	-0.0205058099794942	-0.0205086848555093	0.468169368297868	0.416666666666667	62	106
0	"62-79"	0.166302118933698	0.167861178342013	0.24769428702034	0.183333333333333	62	79
0	"62-45"	0.155844155844156	0.157124549918251	0.4878224894944	0.483333333333333	62	45
0	"62-41"	0.00334928229665072	0.00334929482047398	0.463187541588299	0.483333333333333	62	41
