participant,cond,distance_type,raw_dist,log_distance_type,log_dist
CEL_171-1-2,1,proto_far,742.8122983,log_proto_far,0.3435715
CEL_172a-1-2,1,proto_far,616.8828422,log_proto_far,0.296298601
CEL_173-0-2,0,proto_far,396.497525,log_proto_far,0.552726465
CEL_174-1-3,1,proto_far,208.3156113,log_proto_far,-1.255895375
CEL_175-1-2,1,proto_far,155.1152688,log_proto_far,-1.616849682
CEL_176-0-2,0,proto_far,244.3026712,log_proto_far,-0.540884074
CEL_177-1-5,1,proto_far,713.9980509,log_proto_far,0.318556832
CEL_178-1-2,1,proto_far,619.1897555,log_proto_far,0.464235426
CEL_179-0-2,0,proto_far,707.7308957,log_proto_far,-0.075597899
CEL_180-1-3,1,proto_far,67.65097297,log_proto_far,-1.333222433
CEL_181-1-3,1,proto_far,378.4938587,log_proto_far,0.292817677
CEL_182-0-4,0,proto_far,167.8127643,log_proto_far,-0.883205493
CEL_183-1-2,1,proto_far,295.7812127,log_proto_far,-0.874678534
CEL_185-0-7,0,proto_far,622.3181303,log_proto_far,0.033146696
CEL_186-1-2,1,proto_far,334.023979,log_proto_far,-0.605876883
CEL_187-1-2,1,proto_far,485.2212072,log_proto_far,0.249138439
CEL_188-0-2,0,proto_far,554.8114826,log_proto_far,0.056039586
CEL_189-1-4,1,proto_far,604.0599123,log_proto_far,0.007485823
CEL_190-1-2,1,proto_far,327.8298243,log_proto_far,-0.840361522
CEL_191-0-2,0,proto_far,173.8304279,log_proto_far,-1.285724343
CEL_194-1-4,1,proto_far,512.2461645,log_proto_far,0.226298723
CEL_195-1-3,1,proto_far,219.1429831,log_proto_far,0.891083968
CEL_196-0-3,0,proto_far,376.9441652,log_proto_far,0.138832291
CEL_198-1-2,1,proto_far,493.7083492,log_proto_far,0.097654483
CEL_204-0-2,0,proto_far,240.8878419,log_proto_far,-1.401859664
CEL_210-0-3,0,proto_far,175.6180909,log_proto_far,-0.928182395
CEL_214-1-2,1,proto_far,565.1442024,log_proto_far,0.266167051
CEL_216-0-7,0,proto_far,156.7062268,log_proto_far,-1.485817464
CEL_220-1-2,1,proto_far,546.0842876,log_proto_far,0.474084688
CEL_221-0-5,0,proto_far,456.4554122,log_proto_far,-0.496180063
CEL_223-0-5,0,proto_far,372.2237351,log_proto_far,-0.010147753
CEL_224-1-2,1,proto_far,315.3934691,log_proto_far,-0.902224658
CEL_226-1-3,1,proto_far,209.7808263,log_proto_far,-0.557338672
CEL_229-0-4,0,proto_far,614.5685916,log_proto_far,-0.329426197
CEL_230-0-4,0,proto_far,219.3905015,log_proto_far,-0.622457238
CEL_232-0-3,0,proto_far,325.5325845,log_proto_far,-0.309027183
CEL_233-0-3,0,proto_far,195.9146253,log_proto_far,-1.230674407
CEL_234-0-5,0,proto_far,310.2147918,log_proto_far,-0.31027165
CEL_235-0-4,0,proto_far,818.8353154,log_proto_far,0.255776337
CEL_237-0-2,0,proto_far,392.042008,log_proto_far,-0.229621724
CEL_238-0-3,0,proto_far,232.2791184,log_proto_far,-0.886952086
CEL_239-0-4,0,proto_far,430.1182816,log_proto_far,0.279826129
CEL_240-0-2,0,proto_far,402.1373899,log_proto_far,-0.207421466
CEL_241-0-4,0,proto_far,425.0347779,log_proto_far,-0.393414143
CEL_243-0-3,0,proto_far,406.0704109,log_proto_far,0.124080865
CEL_244-0-2,0,proto_far,324.5626376,log_proto_far,-0.214551547
CEL_245-0-9,0,proto_far,414.9928222,log_proto_far,0.150124441
CEL_246-0-2,0,proto_far,442.8756706,log_proto_far,-0.291335348
CEL_247-0-6,0,proto_far,774.175485,log_proto_far,0.277034455
CEL_248-0-6,0,proto_far,220.2928996,log_proto_far,-0.30002234
CEL_249-0-5,0,proto_far,304.3140242,log_proto_far,-0.378408728
CEL_250-0-7,0,proto_far,268.3921817,log_proto_far,-0.838657573
CEL_252-0-6,0,proto_far,484.427262,log_proto_far,0.141431007
CEL_253-0-2,0,proto_far,132.1730178,log_proto_far,-1.471145626
CEL_43-1-4,1,proto_far,407.4625602,log_proto_far,-0.321513763
CEL_baseline_113-0-5,-1,proto_far,369.2951476,log_proto_far,0.128682688
CEL_baseline_114-0-3,-1,proto_far,628.2158369,log_proto_far,-0.00741712
CEL_baseline_115-0-4,-1,proto_far,239.1670906,log_proto_far,-0.762391849
CEL_baseline_116-0-5,-1,proto_far,499.5384823,log_proto_far,0.151675773
CEL_baseline_118-0-5,-1,proto_far,795.3061989,log_proto_far,0.173460773
CEL_baseline_120-0-5,-1,proto_far,273.4047193,log_proto_far,-0.069686916
CEL_baseline_123-0-3,-1,proto_far,305.3171538,log_proto_far,0.12028684
CEL_baseline_124-0-2,-1,proto_far,379.7714196,log_proto_far,-0.717036064
CEL_baseline_125-0-3,-1,proto_far,749.9414148,log_proto_far,-0.001877171
CEL_baseline_126-0-4,-1,proto_far,671.1884899,log_proto_far,-0.074010233
CEL_baseline_128-0-2,-1,proto_far,242.0270307,log_proto_far,1.166234081
CEL_baseline_129-0-3,-1,proto_far,247.6301411,log_proto_far,-0.517994135
CEL_baseline_130-0-3,-1,proto_far,697.8547726,log_proto_far,0.090493261
CEL_baseline_131-0-4,-1,proto_far,667.6145551,log_proto_far,0.099178376
CEL_baseline_133-0-2,-1,proto_far,270.9992231,log_proto_far,0.082257825
CEL_baseline_134-0-4,-1,proto_far,602.0095636,log_proto_far,0.087676095
CEL_baseline_135-0-4,-1,proto_far,380.8565096,log_proto_far,-0.372082039
CEL_baseline_137-0-4,-1,proto_far,521.5036439,log_proto_far,0.068148859
CEL_baseline_162-0-2,-1,proto_far,416.706481,log_proto_far,-0.780526426
CEL_baseline_165-0-4,-1,proto_far,846.0148997,log_proto_far,0.218112242
CEL_baseline_166-0-4,-1,proto_far,739.6998491,log_proto_far,0.266251275
CEL_baseline_167-0-6,-1,proto_far,204.6939179,log_proto_far,0.065410032
CEL_baseline_168-0-2,-1,proto_far,429.5538252,log_proto_far,-0.48076433
CEL_baseline_169-0-2,-1,proto_far,636.6977743,log_proto_far,0.181096455
CEL_baseline_170-0-3,-1,proto_far,223.9019534,log_proto_far,0.213310661
CEL_baseline_171-0-4,-1,proto_far,179.5102554,log_proto_far,-0.89645978
CEL_baseline_172-0-4,-1,proto_far,1391.006202,log_proto_far,0.669184182
CEL_baseline_173-0-3,-1,proto_far,196.8927,log_proto_far,-0.234496316
CEL_baseline_176-0-7,-1,proto_far,335.9931576,log_proto_far,-0.259105778
CEL_baseline_177-0-2,-1,proto_far,381.2511709,log_proto_far,-0.578316085
CEL_baseline_179-0-3,-1,proto_far,410.7280031,log_proto_far,0.012721021
CEL_baseline_181-0-2,-1,proto_far,672.9707072,log_proto_far,-0.039148716
CEL_baseline_182-0-2,-1,proto_far,33.83472665,log_proto_far,-3.316958593
CEL_baseline_183-0-4,-1,proto_far,292.713335,log_proto_far,-1.063487363
CEL_baseline_184-0-6,-1,proto_far,453.188115,log_proto_far,0.553400796
CEL_baseline_185-0-5,-1,proto_far,378.7254686,log_proto_far,-0.131095765
CEL_baseline_186-0-4,-1,proto_far,194.7260395,log_proto_far,-0.623823058
CEL_baseline_187-0-4,-1,proto_far,883.4718737,log_proto_far,-0.197233958
CEL_baseline_188-0-5,-1,proto_far,520.1427821,log_proto_far,-0.026402693
CEL_baseline_189-0-3,-1,proto_far,626.9265114,log_proto_far,0.536870921
CEL_baseline_191-0-5,-1,proto_far,551.7177106,log_proto_far,0.532525355
CEL_baseline_193-0-8,-1,proto_far,529.8171678,log_proto_far,-0.700356356
CEL_baseline_195-0-7,-1,proto_far,284.0332119,log_proto_far,-0.501689211
CEL_baseline_196-0-5,-1,proto_far,550.4798442,log_proto_far,-0.110100879
CEL_baseline_197-0-6,-1,proto_far,127.9949133,log_proto_far,-0.355833815
CEL_retention_101-1-2,1,proto_far,34.55467756,log_proto_far,-2.698162701
CEL_retention_103-1-2,1,proto_far,259.7632061,log_proto_far,1.156228589
CEL_retention_106-1-2,1,proto_far,30.25390455,log_proto_far,-2.675688131
CEL_retention_107-1-4,1,proto_far,352.8217087,log_proto_far,-0.715252494
CEL_130-1-7,1,proto_medium,20.0975807,log_proto_medium,-2.890518786
CEL_142-0-6,0,proto_medium,433.9668633,log_proto_medium,-0.700383296
CEL_145-0-8,0,proto_medium,782.7692371,log_proto_medium,0.363435449
CEL_146-1-7,1,proto_medium,669.9172329,log_proto_medium,0.589931349
CEL_147-1-2,1,proto_medium,296.7630931,log_proto_medium,-0.959116906
CEL_149-1-2,1,proto_medium,297.0345779,log_proto_medium,-0.343721453
CEL_150-1-2,1,proto_medium,18.19408854,log_proto_medium,-3.201004866
CEL_151-0-4,0,proto_medium,592.6318903,log_proto_medium,-0.008809319
CEL_152-1-5,1,proto_medium,441.5781425,log_proto_medium,-0.172454499
CEL_153-1-7,1,proto_medium,397.4902008,log_proto_medium,-0.567203965
CEL_154-0-5,0,proto_medium,267.7882114,log_proto_medium,-0.721415888
CEL_155-1-5,1,proto_medium,412.5395745,log_proto_medium,-0.165530645
CEL_156-1-3,1,proto_medium,289.4462161,log_proto_medium,-0.913900266
CEL_158-1-7,1,proto_medium,217.169778,log_proto_medium,-1.396020508
CEL_159-1-2,1,proto_medium,316.3242733,log_proto_medium,-0.294955125
CEL_160-0-7,0,proto_medium,601.1277949,log_proto_medium,0.267836171
CEL_161-0-2,0,proto_medium,584.5501906,log_proto_medium,-0.164922163
CEL_162-1-3,1,proto_medium,430.5241431,log_proto_medium,0.089473913
CEL_163-1-2,1,proto_medium,307.358958,log_proto_medium,-1.065545654
CEL_164-0-2,0,proto_medium,556.5573282,log_proto_medium,0.033832595
CEL_165-1-3,1,proto_medium,326.052261,log_proto_medium,-0.447303849
CEL_166-1-2,1,proto_medium,40.86110854,log_proto_medium,-2.508580377
CEL_167-0-2,0,proto_medium,542.9404488,log_proto_medium,-0.029678053
CEL_169-1-2,1,proto_medium,185.7685746,log_proto_medium,-1.333539367
CEL_170-0-7,0,proto_medium,644.1520203,log_proto_medium,0.28115342
CEL_171-1-2,1,proto_medium,865.9261177,log_proto_medium,0.496927705
CEL_172a-1-2,1,proto_medium,323.0222725,log_proto_medium,-0.350659246
CEL_173-0-2,0,proto_medium,424.9254787,log_proto_medium,0.621970475
CEL_174-1-3,1,proto_medium,167.3903867,log_proto_medium,-1.474620937
CEL_175-1-2,1,proto_medium,220.6731909,log_proto_medium,-1.264335359
CEL_176-0-2,0,proto_medium,161.8712542,log_proto_medium,-0.952490695
CEL_177-1-5,1,proto_medium,600.4645849,log_proto_medium,0.145380263
