"","RT","label_cond","label","second_stim","first_stim","first_stim_cat","block","third_stim","isRight","subjCode"
"124",640.445,-0.5,"noise","square_5","circle_2","C",1,"circle_2",1,NA
"125",669.61,-0.5,"noise","circle_7","circle_7","C",1,"square_3",1,NA
"126",476.685,-0.5,"noise","circle_4","square_6","S",1,"square_6",1,NA
"127",573.88,-0.5,"noise","square_3","square_3","S",1,"circle_4",1,NA
"128",600.44,-0.5,"noise","circle_7","circle_7","C",1,"square_4",1,NA
"129",511.035,-0.5,"noise","square_7","circle_5","C",1,"circle_5",1,NA
"130",439.22,-0.5,"noise","circle_6","circle_6","C",1,"square_3",1,NA
"131",453.385,-0.5,"noise","circle_3","square_7","S",1,"square_7",1,NA
"132",451.745,-0.5,"noise","square_6","circle_7","C",1,"circle_7",1,NA
"133",456.11,-0.5,"noise","square_7","square_7","S",1,"circle_6",1,NA
"134",575.62,-0.5,"noise","square_5","square_5","S",1,"circle_3",1,NA
"135",417.245,-0.5,"noise","circle_2","circle_2","C",2,"square_7",1,NA
"136",655.095,-0.5,"noise","square_4","circle_2","C",2,"circle_2",1,NA
"137",367,-0.5,"noise","square_5","square_5","S",2,"circle_5",1,NA
"138",417.855,-0.5,"noise","square_3","circle_4","C",2,"circle_4",1,NA
"139",431.865,-0.5,"noise","circle_3","circle_3","C",2,"square_4",1,NA
"140",624.78,-0.5,"noise","circle_4","circle_4","C",2,"square_2",1,NA
"141",566.355,-0.5,"noise","circle_5","circle_5","C",2,"square_6",1,NA
"142",468.445,-0.5,"noise","square_2","square_2","S",2,"circle_3",1,NA
"143",821.49,-0.5,"noise","square_6","square_6","S",2,"circle_2",1,NA
"144",728.3,-0.5,"noise","square_3","square_3","S",2,"circle_6",1,NA
"145",563.3,-0.5,"noise","square_5","circle_2","C",2,"circle_2",1,NA
"146",502.78,-0.5,"noise","square_5","circle_3","C",2,"circle_3",1,NA
"147",537.7,-0.5,"noise","circle_4","circle_4","C",2,"square_5",1,NA
"148",775.38,-0.5,"noise","square_6","square_6","S",2,"circle_6",1,NA
"149",546.865,-0.5,"noise","square_6","circle_4","C",2,"circle_4",1,NA
"150",481.465,-0.5,"noise","square_6","circle_3","C",2,"circle_3",1,NA
"151",503.27,-0.5,"noise","square_7","square_7","S",2,"circle_7",1,NA
"152",649.375,-0.5,"noise","square_4","square_4","S",2,"circle_7",1,NA
"153",409.095,-0.5,"noise","square_3","circle_5","C",2,"circle_5",1,NA
"154",846.055,-0.5,"noise","circle_7","square_3","S",2,"square_3",1,NA
"155",570.525,-0.5,"noise","circle_5","circle_5","C",2,"square_2",1,NA
"156",514.545,-0.5,"noise","circle_7","circle_7","C",2,"square_6",1,NA
"157",484.56,-0.5,"noise","square_7","circle_3","C",2,"circle_3",1,NA
